Category: Computers & Electronics

Week,solid space: (United States),design form: (United States),voxel: (United States),cpq: (United States)
2020-11-22,0,17,39,26
2020-11-29,0,19,37,41
2020-12-06,0,20,41,39
2020-12-13,0,23,45,26
2020-12-20,0,0,53,26
2020-12-27,0,0,38,22
2021-01-03,0,17,30,31
2021-01-10,0,0,47,38
2021-01-17,0,17,33,31
2021-01-24,0,13,49,38
2021-01-31,0,26,29,45
2021-02-07,0,21,45,48
2021-02-14,0,17,48,35
2021-02-21,0,20,30,39
2021-02-28,0,17,39,43
2021-03-07,0,22,35,47
2021-03-14,0,12,46,46
2021-03-21,0,14,43,41
2021-03-28,0,0,57,49
2021-04-04,0,18,58,30
2021-04-11,0,31,37,44
2021-04-18,0,27,25,43
2021-04-25,0,14,33,46
2021-05-02,0,30,38,47
2021-05-09,0,31,27,45
2021-05-16,0,17,33,47
2021-05-23,0,0,33,48
2021-05-30,0,16,37,43
2021-06-06,0,0,32,42
2021-06-13,0,12,35,40
2021-06-20,0,15,39,64
2021-06-27,0,0,27,45
2021-07-04,0,14,43,41
2021-07-11,0,20,25,42
2021-07-18,0,13,37,48
2021-07-25,0,21,38,37
2021-08-01,0,12,32,40
2021-08-08,0,12,17,55
2021-08-15,0,0,46,46
2021-08-22,0,15,33,46
2021-08-29,0,13,37,48
2021-09-05,0,18,33,37
2021-09-12,0,14,28,50
2021-09-19,0,15,33,53
2021-09-26,0,26,34,45
2021-10-03,0,19,27,49
2021-10-10,0,16,33,44
2021-10-17,0,20,37,56
2021-10-24,0,22,36,49
2021-10-31,0,22,35,42
2021-11-07,0,0,30,46
2021-11-14,0,20,49,48
2021-11-21,0,15,24,35
2021-11-28,0,24,46,28
2021-12-05,0,21,41,55
2021-12-12,0,19,46,42
2021-12-19,0,0,37,37
2021-12-26,0,0,49,27
2022-01-02,0,20,61,61
2022-01-09,0,0,69,62
2022-01-16,0,0,58,60
2022-01-23,0,24,57,66
2022-01-30,0,16,44,65
2022-02-06,0,21,51,63
2022-02-13,0,18,73,76
2022-02-20,0,27,62,51
2022-02-27,0,22,55,66
2022-03-06,0,17,45,63
2022-03-13,0,22,53,60
2022-03-20,0,26,53,69
2022-03-27,0,23,65,71
2022-04-03,0,33,48,69
2022-04-10,0,20,53,77
2022-04-17,0,36,56,75
2022-04-24,0,27,58,78
2022-05-01,0,33,49,81
2022-05-08,0,18,46,84
2022-05-15,0,25,51,85
2022-05-22,0,21,43,92
2022-05-29,0,15,41,74
2022-06-05,0,12,42,92
2022-06-12,16,12,42,76
2022-06-19,0,0,46,73
2022-06-26,0,17,50,82
2022-07-03,0,13,50,72
2022-07-10,0,20,63,89
2022-07-17,0,16,50,80
2022-07-24,0,22,44,94
2022-07-31,0,17,52,75
2022-08-07,0,11,43,68
2022-08-14,0,18,46,73
2022-08-21,0,18,45,85
2022-08-28,0,17,55,75
2022-09-04,0,24,38,68
2022-09-11,0,24,40,74
2022-09-18,0,25,53,82
2022-09-25,0,19,52,86
2022-10-02,0,12,51,84
2022-10-09,0,22,48,68
2022-10-16,0,27,39,76
2022-10-23,0,16,53,79
2022-10-30,0,23,36,86
2022-11-06,0,23,39,69
2022-11-13,0,33,47,76
2022-11-20,0,15,46,34
2022-11-27,0,29,36,64
2022-12-04,0,31,51,78
2022-12-11,0,35,40,78
2022-12-18,12,12,55,54
2022-12-25,0,0,49,38
2023-01-01,0,17,33,58
2023-01-08,0,23,47,83
2023-01-15,0,22,44,84
2023-01-22,0,16,56,98
2023-01-29,0,27,55,88
2023-02-05,0,21,55,84
2023-02-12,0,14,47,81
2023-02-19,0,22,50,83
2023-02-26,15,17,49,88
2023-03-05,0,25,58,81
2023-03-12,0,18,60,87
2023-03-19,0,17,44,77
2023-03-26,0,27,38,85
2023-04-02,0,33,43,80
2023-04-09,0,28,52,71
2023-04-16,0,25,52,81
2023-04-23,0,33,41,77
2023-04-30,0,21,47,81
2023-05-07,0,27,49,81
2023-05-14,0,39,36,83
2023-05-21,0,22,38,78
2023-05-28,0,12,42,52
2023-06-04,0,19,41,75
2023-06-11,0,18,52,66
2023-06-18,0,20,52,69
2023-06-25,0,22,46,79
2023-07-02,0,18,53,58
2023-07-09,0,17,57,79
2023-07-16,0,13,65,83
2023-07-23,0,22,53,81
2023-07-30,0,33,66,80
2023-08-06,0,19,56,67
2023-08-13,0,15,49,87
2023-08-20,16,15,39,66
2023-08-27,0,16,45,82
2023-09-03,0,19,31,53
2023-09-10,0,16,49,72
2023-09-17,0,25,53,62
2023-09-24,0,19,41,93
2023-10-01,12,22,44,80
2023-10-08,0,28,51,65
2023-10-15,0,28,56,76
2023-10-22,0,26,52,66
2023-10-29,0,22,37,77
2023-11-05,0,36,45,71
2023-11-12,0,28,56,71
2023-11-19,0,15,39,41
2023-11-26,0,36,50,66
2023-12-03,0,26,54,69
2023-12-10,0,15,56,70
2023-12-17,0,19,60,53
2023-12-24,0,0,51,36
2023-12-31,0,0,54,64
2024-01-07,0,14,61,76
2024-01-14,0,18,70,85
2024-01-21,0,18,83,73
2024-01-28,0,19,74,86
2024-02-04,0,30,63,84
2024-02-11,0,34,71,75
2024-02-18,0,16,52,68
2024-02-25,0,32,60,69
2024-03-03,0,25,43,81
2024-03-10,0,16,52,93
2024-03-17,0,19,54,80
2024-03-24,0,25,49,88
2024-03-31,0,22,33,77
2024-04-07,0,25,44,66
2024-04-14,0,36,51,80
2024-04-21,0,24,56,64
2024-04-28,0,19,52,78
2024-05-05,0,27,52,98
2024-05-12,0,21,49,63
2024-05-19,0,24,43,63
2024-05-26,0,0,61,72
2024-06-02,0,24,50,83
2024-06-09,0,18,54,61
2024-06-16,0,21,66,52
2024-06-23,0,23,57,75
2024-06-30,0,15,49,52
2024-07-07,0,0,52,74
2024-07-14,0,19,49,69
2024-07-21,0,19,40,100
2024-07-28,0,15,44,68
2024-08-04,0,15,48,52
2024-08-11,0,17,53,72
2024-08-18,0,21,33,81
2024-08-25,0,18,45,73
2024-09-01,0,14,46,52
2024-09-08,0,20,37,51
2024-09-15,12,17,43,67
2024-09-22,15,20,49,59
2024-09-29,0,29,50,75
2024-10-06,0,18,47,68
2024-10-13,0,22,45,66
2024-10-20,0,26,41,68
2024-10-27,13,23,51,70
2024-11-03,12,23,38,64
2024-11-10,0,23,37,66
2024-11-17,20,41,54,89
2024-11-24,0,0,36,52
2024-12-01,12,43,49,54
2024-12-08,0,20,51,62
2024-12-15,0,22,40,66
2024-12-22,0,0,39,42
2024-12-29,0,0,58,32
2025-01-05,0,13,42,66
2025-01-12,0,21,47,75
2025-01-19,0,31,63,74
2025-01-26,0,28,60,74
2025-02-02,0,12,47,73
2025-02-09,0,20,65,71
2025-02-16,0,23,66,78
2025-02-23,0,20,44,72
2025-03-02,0,31,45,78
2025-03-09,0,16,48,85
2025-03-16,0,33,56,81
2025-03-23,0,29,42,86
2025-03-30,0,20,46,86
2025-04-06,0,24,54,85
2025-04-13,0,22,53,72
2025-04-20,0,19,47,77
2025-04-27,0,23,62,84
2025-05-04,0,18,76,97
2025-05-11,0,22,80,73
2025-05-18,0,18,52,70
2025-05-25,0,13,54,67
2025-06-01,0,23,53,78
2025-06-08,0,19,53,77
2025-06-15,0,22,59,89
2025-06-22,0,28,62,77
2025-06-29,0,26,59,54
2025-07-06,0,15,59,61
2025-07-13,0,39,84,69
2025-07-20,18,35,60,67
2025-07-27,0,36,67,65
2025-08-03,0,0,45,72
2025-08-10,0,30,61,71
2025-08-17,0,20,63,68
2025-08-24,0,14,60,64
